piece_cid,piece_size,car_file_name
baga6ea4seaqeetrizhe2me5lucvh6makuuvne3mboqe5gouicmxsxnapd2r32py,34359738368,4ad3b06c38891ed357f752c290e99849_baga6ea4seaqeetrizhe2me5lucvh6makuuvne3mboqe5gouicmxsxnapd2r32py.car
baga6ea4seaqfqhbyty64volqjviwd6q2jrwpohpu2n3srs63avbkrbor3nyh2ey,34359738368,1edee208f1afd707d47e4ff443df1a9d_baga6ea4seaqfqhbyty64volqjviwd6q2jrwpohpu2n3srs63avbkrbor3nyh2ey.car
baga6ea4seaqnbbip7hh6j3f2pm5gpdy2lz6aaltqpcqplzaejewamrdut6lnipq,34359738368,8030490fbe75b27d4e5b01e40beb73b2_baga6ea4seaqnbbip7hh6j3f2pm5gpdy2lz6aaltqpcqplzaejewamrdut6lnipq.car
baga6ea4seaqjxxgv2dagjiz3y6g5xc4gqgjampwjuuj66u7v636cwmj5j4keoei,34359738368,4acf880f08418a7c489450c7f3e47f72_baga6ea4seaqjxxgv2dagjiz3y6g5xc4gqgjampwjuuj66u7v636cwmj5j4keoei.car
baga6ea4seaqdal4dn6ydhr6cl42caerorwra3dtvbpdbnhvvpw6sslrdozirudy,34359738368,fe62d3efe8d8ea3f1a8afe1a63360500_baga6ea4seaqdal4dn6ydhr6cl42caerorwra3dtvbpdbnhvvpw6sslrdozirudy.car
baga6ea4seaqgsbhon4ilemmivga375jebrhldt6mw3wadikzak5n7yukce7xcbi,34359738368,5f0468a14de886b70b3bac6f8b014391_baga6ea4seaqgsbhon4ilemmivga375jebrhldt6mw3wadikzak5n7yukce7xcbi.car
baga6ea4seaqbt2gg7sufqcimafqxdrhc6ijoyadvotdqj34llvmnflhcnug7way,34359738368,d7f067d3741c99ae48854b1a939c54f7_baga6ea4seaqbt2gg7sufqcimafqxdrhc6ijoyadvotdqj34llvmnflhcnug7way.car
baga6ea4seaql6kqwgxjbt3ryfv4naewxxkooywu72nkpolxhcvswzsiz7hvwogq,34359738368,e50a59d0d1758217351a8ee6e62ceeeb_baga6ea4seaql6kqwgxjbt3ryfv4naewxxkooywu72nkpolxhcvswzsiz7hvwogq.car
baga6ea4seaqodjeulpe4tgj5zet2nyyrvq2qeo43snw3vvrp32rrcdxgu6yfoja,34359738368,707584bedb737c3a1529d6857e646b00_baga6ea4seaqodjeulpe4tgj5zet2nyyrvq2qeo43snw3vvrp32rrcdxgu6yfoja.car
baga6ea4seaqmc2fddegcqedwfllmi5kfj7falttrsjvtowskvweirpjo2m6mapi,34359738368,892f8cb73a1e51258dfc7be652f1afd7_baga6ea4seaqmc2fddegcqedwfllmi5kfj7falttrsjvtowskvweirpjo2m6mapi.car
baga6ea4seaqj72n3bxcc3d67uswzhkc52semlvaj3o7l2qo5ur2ov5agldimany,34359738368,c7e530418eaa4dd08eef12678be760d7_baga6ea4seaqj72n3bxcc3d67uswzhkc52semlvaj3o7l2qo5ur2ov5agldimany.car
baga6ea4seaqkxwluhmsdoql2dutg3mmombqwxmftbj65egsakziiz7kq3jouwpy,34359738368,92c52fe5cfe17da513bb69396727a0e1_baga6ea4seaqkxwluhmsdoql2dutg3mmombqwxmftbj65egsakziiz7kq3jouwpy.car
